part_id,display_name,source_relative_path,audit_verdict,audit_flags,review_result,notes
"nova_mob_g_legs37_sts","스타쉽G","datan\common\g_legs37_sts.gx","review","dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_g_legs57_ppo","피파울G","datan\common\g_legs57_ppo.gx","review","repair_applied;gx_pose_unapplied_candidate;center_y_outlier","",""
"nova_mob_g_legs58_pps","포퍼스G","datan\common\g_legs58_pps.gx","review","repair_applied;dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_g_legs59_hb","호버G","datan\common\g_legs59_hb.gx","pass","","",""
"nova_mob_g_legs60_hord","하이로더G","datan\common\g_legs60_hord.gx","pass","","",""
"nova_mob_legs10_prg","프리깃","datan\common\legs10_prg.gx","pass","","",""
"nova_mob_legs11_strod","스트라이더","datan\common\legs11_strod.gx","pass","","",""
"nova_mob_legs12_kb","코벳","datan\common\legs12_kb.gx","review","dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_legs13_krz","크루저","datan\common\legs13_krz.gx","review","dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_legs14_grp","갤로퍼","datan\common\legs14_grp.gx","pass","","",""
"nova_mob_legs15_krr","크롤러","datan\common\legs15_krr.gx","review","repair_applied;gx_pose_unapplied_candidate","",""
"nova_mob_legs16_sprt","스플리터","datan\common\legs16_sprt.gx","pass","","",""
"nova_mob_legs17_oprd","오프로더","datan\common\legs17_oprd.gx","pass","","",""
"nova_mob_legs18_hord","하이로더","datan\common\legs18_hord.gx","pass","","",""
"nova_mob_legs1_rdrn","로드런너","datan\common\legs1_rdrn.gx","pass","","",""
"nova_mob_legs20_spod","스파이더","datan\common\legs20_spod.gx","review","repair_applied;dropped_block_present;height_outlier","",""
"nova_mob_legs21_ksor","카소와리","datan\common\legs21_ksor.gx","pass","","",""
"nova_mob_legs23_tk","탱커","datan\common\legs23_tk.gx","high","large_dropped_block;catalog_count_mismatch;repair_applied;dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_legs24_sts","스타쉽","datan\common\legs24_sts.gx","review","dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_legs25_kd","쿼더","datan\common\legs25_kd.gx","review","dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_legs2_tdr","토들러","datan\common\legs2_tdr.gx","pass","","",""
"nova_mob_legs34_dpns","델피누스","datan\common\legs34_dpns.gx","review","repair_applied;gx_pose_unapplied_candidate","",""
"nova_mob_legs3_ktpr","캐터필러","datan\common\legs3_ktpr.gx","review","repair_applied;gx_pose_unapplied_candidate","",""
"nova_mob_legs49_otrs","옵테릭스","datan\common\legs49_otrs.gx","review","center_x_outlier","",""
"nova_mob_legs4_kt","캔터","datan\common\legs4_kt.gx","pass","","",""
"nova_mob_legs50_pps","포퍼스","datan\common\legs50_pps.gx","review","repair_applied;dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_legs51_ppo","피파울","datan\common\legs51_ppo.gx","review","repair_applied;gx_pose_unapplied_candidate;center_y_outlier","",""
"nova_mob_legs52_pkk","피코크","datan\common\legs52_pkk.gx","review","repair_applied;gx_pose_unapplied_candidate","",""
"nova_mob_legs53_rgd","래거드","datan\common\legs53_rgd.gx","review","repair_applied;gx_pose_unapplied_candidate","",""
"nova_mob_legs5_ko","키위","datan\common\legs5_ko.gx","pass","","",""
"nova_mob_legs6_ok","워커","datan\common\legs6_ok.gx","pass","","",""
"nova_mob_legs7_hb","호버","datan\common\legs7_hb.gx","pass","","",""
"nova_mob_legs8_obr","앰블러","datan\common\legs8_obr.gx","pass","","",""
"nova_mob_legs9_ptr","패트롤","datan\common\legs9_ptr.gx","review","dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_n_legs38_grp","갤로퍼N","datan\common\n_legs38_grp.gx","pass","","",""
"nova_mob_n_legs39_wk","워커N","datan\common\n_legs39_wk.gx","pass","","",""
"nova_mob_n_legs40_krz","크루저N","datan\common\n_legs40_krz.gx","high","catalog_count_mismatch;gx_pose_unapplied_candidate","",""
"nova_mob_n_legs41_tdr","토들러N","datan\common\n_legs41_tdr.gx","pass","","",""
"nova_mob_n_legs42_krr","크롤러N","datan\common\n_legs42_krr.gx","review","repair_applied;gx_pose_unapplied_candidate","",""
"nova_mob_n_legs44_hord","하이로더N","datan\common\n_legs44_hord.gx","review","repair_applied;gx_pose_unapplied_candidate","",""
"nova_mob_n_legs45_strod","스트라이더N","datan\common\n_legs45_strod.gx","pass","","",""
"nova_mob_n_legs46_sprt","스플리터N","datan\common\n_legs46_sprt.gx","pass","","",""
"nova_mob_s_legs27_ksor","카소와리S","datan\common\s_legs27_ksor.gx","pass","","",""
"nova_mob_s_legs28_krz","크루저S","datan\common\s_legs28_krz.gx","review","dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_s_legs29_sprt","스플리터S","datan\common\s_legs29_sprt.gx","pass","","",""
"nova_mob_s_legs30_tk","탱커S","datan\common\s_legs30_tk.gx","high","large_dropped_block;catalog_count_mismatch;repair_applied;dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_s_legs31_ko","키위S","datan\common\s_legs31_ko.gx","pass","","",""
"nova_mob_s_legs32_kb","코벳S","datan\common\s_legs32_kb.gx","review","dropped_block_present;gx_pose_unapplied_candidate","",""
"nova_mob_s_legs33_spod","스파이더S","datan\common\s_legs33_spod.gx","review","repair_applied;dropped_block_present;height_outlier","",""
