"source","meshHeader","vertices","triangles","node","nodeStart","nodeEnd","tx","ty","tz","rawBounds","transformedBounds"
"datan\common\legs1_rdrn.gx","0x1492","142","130","legs","0x7D","0x1526A","-3.823636E-05","1.292119","1.876219E-05","-0.244331;-0.460523;-0.62611|0.243446;0;1.059739","-0.244369;0.831596;-0.626091|0.243408;1.292119;1.059758"
"datan\common\legs1_rdrn.gx","0x502C","28","48","NGon03","0x3755","0xC42F","0.1608125","0.887717","-0.1469513","0;-0.518536;-0.37692|0.367944;0.149673;0.161809","0.160813;0.495953;-0.593305|0.508055;1.049218;0.000551"
"datan\common\legs1_rdrn.gx","0x73F1","51","35","Box09","0x5A9B","0xC424","0.3506655","0.5751984","-0.5509181","-0.124485;-0.585034;-0.231447|0.254551;0.284593;0.607328","0.233184;0.023079;-0.769343|0.590895;0.84378;0.022241"
"datan\common\legs1_rdrn.gx","0x97EC","10","8","Box1722","0x7F54","0xC419","0.4120353","0.05705203","-0.04134087","-0.045785;-0.046078;-0.184503|0.045785;0.035724;0.004646","0.368826;0.013566;-0.215463|0.455244;0.090767;-0.036956"
"datan\common\legs1_rdrn.gx","0xAE15","8","12","Box11","0x9A3F","0xB148","0.4120351","0.04623698","-0.1909637","-0.086785;-0.048959;-0.191863|0.086785;0.078932;0.023352","0.330133;0.000033;-0.372032|0.493937;0.120728;-0.168925"
"datan\common\legs1_rdrn.gx","0xC0AB","8","12","Box1022","0xB153","0xC40E","0.4120353","0.03232332","-0.04021843","-0.104092;-0.034217;-0.01862|0.104092;0.138757;0.406073","0.3138;0.000032;-0.057791|0.510271;0.163274;0.343008"
"datan\common\legs1_rdrn.gx","0xDC11","12","20","NGon07","0xC43A","0x1525F","-0.1594175","0.887717","-0.1469516","-0.177764;-0.140131;-0.161809|0;0.140131;0.161809","-0.32718;0.740215;-0.294454|-0.159417;1.035219;0.00055"
"datan\common\legs1_rdrn.gx","0xE60A","16","28","Box40","0xE174","0x15254","-0.3782472","0.8582215","-0.1652926","-0.14063;-0.483317;-0.366236|0.061948;0.184892;0.124447","-0.510965;0.495952;-0.593305|-0.319784;1.049218;-0.067212"
"datan\common\legs1_rdrn.gx","0x105D5","51","35","Box3522","0xEBBD","0x15249","-0.3535751","0.5751982","-0.5509182","-0.254551;-0.585034;-0.231447|0.124485;0.284593;0.607328","-0.593805;0.023079;-0.769344|-0.236094;0.84378;0.022241"
"datan\common\legs1_rdrn.gx","0x12890","10","8","Box3922","0x11138","0x1523E","-0.4149448","0.05705191","-0.04134093","-0.045785;-0.046078;-0.184503|0.045785;0.035724;0.004646","-0.458154;0.013566;-0.215463|-0.371736;0.090766;-0.036956"
"datan\common\legs1_rdrn.gx","0x13CFB","8","12","Box3722","0x12AE3","0x1402E","-0.414945","0.04623685","-0.1909638","-0.086785;-0.048959;-0.191863|0.086785;0.078932;0.023352","-0.496847;0.000032;-0.372032|-0.333043;0.120728;-0.168925"
"datan\common\legs1_rdrn.gx","0x14ED0","8","12","222222","0x14039","0x15233","-0.4149448","0.0323232","-0.04021849","-0.104092;-0.034217;-0.01862|0.104092;0.138757;0.406073","-0.51318;0.000032;-0.057791|-0.31671;0.163274;0.343008"
